"ACCESS.NUMBER" "UUI" "IMEI" "REFNUM"
"743" NA "1227" "359771070772168" NA
"744" NA "1206" "359771072201539" NA
"745" NA "281" "359771072733507" NA
"746" NA "384" "359771072734455" NA
"747" NA "317" "359771072738951" NA
"748" NA "1105" "359771074660005" NA
"749" NA "269" "359878060704455" NA
"750" NA "1194" "666666666666666" NA
"751" NA "321" "860850016840073" NA
"752" NA "321" "867304009202514" NA
"753" NA "416" "869370024444470" NA
"754" NA "408" "869370024445782" NA
"755" NA "369" "869370024448299" NA
"756" NA "423" "869370024448547" NA
