"TYPE" "MODEL" "REFNUM" "IMEI" "STATUS"
"340" "Smartphone" "IPHONE 5S 16GB GRIS" NA "358826058689288" "Descartado"
"341" "Smartphone" "IPHONE 5S 16GB GRIS" NA "358829055875926" "Activo"
"342" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854050602737" "Descartado"
"343" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854050602760" "Descartado"
"344" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854050602877" "Descartado"
"345" "Smartphone" "S3 MINI 8GB AZUL" NA "358854051002705" "Activo"
"346" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854051007050" "Descartado"
"347" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854051008041" "Descartado"
"348" "Smartphone" "S3 MIN 8GB BLANCO" NA "358854051013181" "Descartado"
"349" "Smartphone" "S3 MINI 8GB AZUL" NA "358854053600886" "Descartado"
"350" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050166142" "Activo"
"351" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050168718" "Descartado"
"352" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050168999" "Descartado"
"353" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050173452" "Descartado"
"354" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050182453" "Descartado"
"355" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050184848" "Descartado"
"356" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050187130" "Descartado"
"357" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050187155" "Activo"
"358" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050193369" "Descartado"
"359" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050207599" "Activo"
"360" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050208423" "Activo"
"361" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050208746" "Descartado"
"362" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050209322" "Activo"
"363" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050214975" "Activo"
"364" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050215261" "Activo"
"365" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050215279" "Descartado"
"366" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050215832" "Activo"
"367" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050216129" "Descartado"
"368" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050216186" "Descartado"
"369" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050216293" "Descartado"
"370" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050222879" "Descartado"
"371" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050223901" "Descartado"
"372" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050226953" "Descartado"
"373" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050230179" "Activo"
"374" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050256471" "Descartado"
"375" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050325987" "Descartado"
"376" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050475741" "Descartado"
"377" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050493413" "Descartado"
"378" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050511131" "Descartado"
"379" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050511693" "Descartado"
"380" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050515538" "Activo"
"381" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050517179" "Descartado"
"382" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050518854" "Descartado"
"383" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050519423" "Descartado"
"384" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050520751" "Descartado"
"385" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050526436" "Activo"
"386" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050526667" "Descartado"
"387" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050557811" "Descartado"
"388" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050558686" "Activo"
"389" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050563595" "Activo"
"390" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050592321" "Descartado"
"391" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050592560" "Descartado"
"392" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050593352" "Descartado"
"393" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050599995" "Descartado"
"394" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050605495" "Activo"
"395" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050611238" "Descartado"
"396" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050613325" "Descartado"
"397" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050613952" "Descartado"
"398" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050616526" "Activo"
"399" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050619272" "Descartado"
"400" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050619280" "Descartado"
"401" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050621401" "Activo"
"402" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050622169" "Descartado"
"403" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050622540" "Descartado"
"404" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050622698" "Activo"
"405" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050625360" "Descartado"
"406" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050626004" "Descartado"
"407" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050627101" "Descartado"
"408" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050627853" "Descartado"
"409" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050628133" "Descartado"
"410" "Smartphone" "GALAXY ACE 3 AZUL" NA "358875050630667" "Descartado"
"411" "Smartphone" "GALAXY ACE 3 BLANCO" NA "358875050646069" "Descartado"
"412" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060253206" "Activo"
"413" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060257140" "Activo"
"414" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060271752" "Activo"
"415" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060399330" "Activo"
"416" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060404593" "Activo"
"417" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973060434632" "Activo"
"418" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061747016" "Activo"
"419" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061747214" "Activo"
"420" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061763740" "Activo"
"421" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061766701" "Activo"
"422" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061776221" "Activo"
"423" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061776619" "Activo"
"424" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061923591" "Activo"
"425" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061923625" "Activo"
"426" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061923856" "Activo"
"427" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061939571" "Activo"
"428" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061941122" "Activo"
"429" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061949323" "Activo"
"430" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061951055" "Activo"
"431" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061953549" "Activo"
"432" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973061955635" "Activo"
"433" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973062100918" "Activo"
"434" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973062124728" "Activo"
"435" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973062127069" "Activo"
"436" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "358973062129602" "Activo"
"437" "Smartphone" "IPHONE SE 16GB GRIS" NA "359145070221411" "Activo"
"438" "Smartphone" "IPHONE SE 16GB SPACE GRAY" NA "359145070299052" "Activo"
"439" "Smartphone" "IPHONE SE 16GB GRIS" NA "359145070449558" "Activo"
"440" "Smartphone" "IPHONE SE 16GB GRIS" NA "359145071097356" "Activo"
"441" "Smartphone" "IPHONE SE 16GB GRIS" NA "359145071253462" "Activo"
"442" "Smartphone" "IPHONE SE 16GB GRIS" NA "359145071517569" "Activo"
"443" "Smartphone" "IPHONE SE 16G SPACE GRAY" NA "359145071705842" "Activo"
"444" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "359238063699899" "Activo"
"445" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359262062555878" "Activo"
"446" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359262062556132" "Activo"
"447" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359262065790522" "Activo"
"448" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062087913" "Activo"
"449" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062135944" "Activo"
"450" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062154598" "Activo"
"451" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062361722" "Activo"
"452" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062392743" "Activo"
"453" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062428059" "Activo"
"454" "Smartphone" "IPHONE 5S 16GB GRIS" NA "359267062694783" "Activo"
"455" "Smartphone" "MOTO G LTE NEGRO" NA "359291055404364" "Activo"
"456" "Smartphone" "MOTO G LTE NEGRO" NA "359291055404521" "Activo"
"457" "Smartphone" "MOTO G LTE NEGRO" NA "359291056038427" "Descartado"
"458" "Smartphone" "MOTO G LTE NEGRO" NA "359291056075411" "Descartado"
"459" "Smartphone" "MOTO G LTE NEGRO" NA "359291056143722" "Activo"
"460" "Smartphone" "MOTO G LTE NEGRO" NA "359291056148499" "Descartado"
"461" "Smartphone" "MOTO G LTE NEGRO" NA "359291056242086" "Activo"
"462" "Smartphone" "MOTO G LTE NEGRO" NA "359291056288790" "Activo"
"463" "Smartphone" "MOTO G LTE BLANCO" NA "359291056600093" "Descartado"
"464" "Smartphone" "MOTO G LTE BLANCO" NA "359291056600903" "Activo"
"465" "Smartphone" "MOTO G LTE NEGRO" NA "359291057567705" "Descartado"
"466" "Smartphone" "MOTO G LTE NEGRO" NA "359291057567762" "Activo"
"467" "Smartphone" "MOTO G LTE NEGRO" NA "359291057576565" "Activo"
"468" "Smartphone" "MOTO G LTE NEGRO" NA "359291057576581" "Activo"
"469" "Smartphone" "MOTO E NEGRO" NA "359293054090863" "Activo"
"470" "Smartphone" "IPHONE 6 16GB SPACE GREY" NA "359303066098315" "Activo"
"471" "Smartphone" "IPHONE 6 16GB SILVER" NA "359305066369141" "Activo"
"472" "BAM/M2M" "BAM MODEM MF 90 MIFI LTE BLANCO" NA "359734030781059" "Activo"
"473" "BAM/M2M" "BAM MODEM MF90 MI-FI LTE" NA "359734031578298" "Activo"
"474" "Smartphone" "GALAXY J5 NEGRO" NA "359771070529485" "Activo"
"475" "Smartphone" "GALAXY J5 NEGRO" NA "359771070531929" "Activo"
"476" "Smartphone" "GALAXY J5 NEGRO" NA "359771070533867" "Activo"
"477" "Smartphone" "GALAXY J5 NEGRO" NA "359771070534063" "Activo"
"478" "Smartphone" "GALAXY J5 NEGRO" NA "359771070537454" "Activo"
"479" "Smartphone" "GALAXY J5 NEGRO" NA "359771070772168" "Activo"
"480" "Smartphone" "GALAXY J5 NEGRO" NA "359771072201539" "Activo"
"481" "Smartphone" "GALAXY J5 NEGRO" NA "359771072733507" "Activo"
"482" "Smartphone" "GALAXY J5 NEGRO" NA "359771072734455" "Activo"
"483" "Smartphone" "GALAXY J5 NEGRO" NA "359771072738951" "Activo"
"484" "Smartphone" "GALAXY J5" NA "359771074660005" "Activo"
"485" "Smartphone" "GALAXY S6 32 GB DORADO" NA "359878060704455" "Activo"
"486" "Smartphone" "weno" NA "444444444444444" "En reparación"
"487" "Smartphone" "IPHONE 4S 16GB NEGRO 3G SERVICE UNIT" NA "666666666666666" "Descartado"
"488" "BAM/M2M" "PORTATIL MODEM HSPA+MF710 BLANCO" NA "860850013278855" "Activo"
"489" "BAM/M2M" "MODEM HSPA+MF710 BLANCO" NA "860850016840073" "Activo"
"490" "BAM/M2M" "MODEM E173 3G" NA "867304009202514" "Descartado"
"491" "Smartphone" "P8 PLATA" NA "869370024444470" "Activo"
"492" "Smartphone" "P8 PLATA" NA "869370024445782" "Activo"
"493" "Smartphone" "P8 PLATA" NA "869370024448299" "Activo"
"494" "Smartphone" "P8 PLATA" NA "869370024448547" "Activo"
